,formulaA,formulaB,formulaA_elements_AtomicVolume,formulaB_elements_AtomicVolume,formulaA_elements_AtomicWeight,formulaB_elements_AtomicWeight,formulaA_elements_BoilingT,formulaB_elements_BoilingT,formulaA_elements_BulkModulus,formulaB_elements_BulkModulus,formulaA_elements_Column,formulaB_elements_Column,formulaA_elements_CovalentRadius,formulaB_elements_CovalentRadius,formulaA_elements_Density,formulaB_elements_Density,formulaA_elements_ElectronSurfaceDensityWS,formulaB_elements_ElectronSurfaceDensityWS,formulaA_elements_Electronegativity,formulaB_elements_Electronegativity,formulaA_elements_FirstIonizationEnergy,formulaB_elements_FirstIonizationEnergy,formulaA_elements_GSbandgap,formulaB_elements_GSbandgap,formulaA_elements_GSenergy_pa,formulaB_elements_GSenergy_pa,formulaA_elements_GSestBCClatcnt,formulaB_elements_GSestBCClatcnt,formulaA_elements_GSestFCClatcnt,formulaB_elements_GSestFCClatcnt,formulaA_elements_GSmagmom,formulaB_elements_GSmagmom,formulaA_elements_GSvolume_pa,formulaB_elements_GSvolume_pa,formulaA_elements_HHIp,formulaB_elements_HHIp,formulaA_elements_HHIr,formulaB_elements_HHIr,formulaA_elements_HeatCapacityMass,formulaB_elements_HeatCapacityMass,formulaA_elements_HeatCapacityMolar,formulaB_elements_HeatCapacityMolar,formulaA_elements_HeatFusion,formulaB_elements_HeatFusion,formulaA_elements_ICSDVolume,formulaB_elements_ICSDVolume,formulaA_elements_IsAlkali,formulaB_elements_IsAlkali,formulaA_elements_IsDBlock,formulaB_elements_IsDBlock,formulaA_elements_IsFBlock,formulaB_elements_IsFBlock,formulaA_elements_IsMetal,formulaB_elements_IsMetal,formulaA_elements_IsMetalloid,formulaB_elements_IsMetalloid,formulaA_elements_IsNonmetal,formulaB_elements_IsNonmetal,formulaA_elements_MeltingT,formulaB_elements_MeltingT,formulaA_elements_MendeleevNumber,formulaB_elements_MendeleevNumber,formulaA_elements_MiracleRadius,formulaB_elements_MiracleRadius,formulaA_elements_NUnfilled,formulaB_elements_NUnfilled,formulaA_elements_NValance,formulaB_elements_NValance,formulaA_elements_NdUnfilled,formulaB_elements_NdUnfilled,formulaA_elements_NdValence,formulaB_elements_NdValence,formulaA_elements_NfUnfilled,formulaB_elements_NfUnfilled,formulaA_elements_NfValence,formulaB_elements_NfValence,formulaA_elements_NpUnfilled,formulaB_elements_NpUnfilled,formulaA_elements_NpValence,formulaB_elements_NpValence,formulaA_elements_NsUnfilled,formulaB_elements_NsUnfilled,formulaA_elements_NsValence,formulaB_elements_NsValence,formulaA_elements_Number,formulaB_elements_Number,formulaA_elements_Polarizability,formulaB_elements_Polarizability,formulaA_elements_Row,formulaB_elements_Row,formulaA_elements_ShearModulus,formulaB_elements_ShearModulus,formulaA_elements_SpaceGroupNumber,formulaB_elements_SpaceGroupNumber,avg_coordination_A,avg_coordination_B,avg_nearest_neighbor_distance_A,avg_nearest_neighbor_distance_B,stabilityVec
280,Rh,Be,13.72550981,8.098176455,102.9055,9.012182000000001,3968.0,2743.0,380.0,130.0,9,2,142,96,12450.0,1848.0,1.76,1.67,2.28,1.57,7.4589,9.3227,0.0,0.0,-7.25364552,-3.755038695,3.010334727,2.508239481,3.79278409,3.160183721,0.0,0.0,13.64,7.89,3200,8000,8000,4000,0.243,1.825,24.98,16.442999999999998,26.59,7.895,11.58,8.11,0,1,1,0,0,0,1,1,0,0,0,0,2237.0,1560.0,59,67,132,112,3,0,9,2,2,0,8,0,0,0,0,0,0,0,0,0,1,0,1,2,45,4,8.6,5.6,5,2,150.0,132.0,225,194,12.0,12.0,2.72142,2.20087,"[1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
281,S,Be,27.16654579,8.098176455,32.065,9.012182000000001,717.72,2743.0,7.7,130.0,16,2,105,96,1960.0,1848.0,0.0,1.67,2.58,1.57,10.36001,9.3227,2.202,0.0,-4.0972167189999995,-3.755038695,3.722284555,2.508239481,4.689784663999999,3.160183721,0.0,0.0,25.786875,7.89,700,8000,1000,4000,0.708,1.825,22.7,16.442999999999998,1.7209999999999999,7.895,25.76,8.11,0,1,0,0,0,0,0,1,0,0,1,0,388.36,1560.0,88,67,103,112,2,0,6,2,0,0,0,0,0,0,0,0,2,0,4,0,0,0,2,2,16,4,2.9,5.6,3,2,0.0,132.0,70,194,2.0,12.0,2.06242,2.20087,"[1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
282,Sb,Be,30.19142344,8.098176455,121.76,9.012182000000001,1860.0,2743.0,42.0,130.0,15,2,139,96,6697.0,1848.0,1.26,1.67,2.05,1.57,8.60839,9.3227,0.0,0.0,-4.11736234,-3.755038695,3.981581991,2.508239481,5.016478962,3.160183721,0.0,0.0,31.56,7.89,7900,8000,3400,4000,0.207,1.825,25.23,16.442999999999998,19.79,7.895,30.21,8.11,0,1,0,0,0,0,1,1,1,0,0,0,903.78,1560.0,85,67,155,112,3,0,15,2,0,0,10,0,0,0,0,0,3,0,3,0,0,0,2,2,51,4,6.6,5.6,5,2,20.0,132.0,166,194,3.0,12.0,2.9544900000000003,2.20087,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
283,Sc,Be,25.00931092,8.098176455,44.955912,9.012182000000001,3103.0,2743.0,57.0,130.0,3,2,170,96,2985.0,1848.0,1.27,1.67,1.36,1.57,6.561489999999999,9.3227,0.0,0.0,-6.28551309,-3.755038695,3.5428740210000003,2.508239481,4.463741557,3.160183721,6.35e-06,0.0,22.235,7.89,5500,8000,4500,4000,0.568,1.825,25.52,16.442999999999998,14.1,7.895,24.96,8.11,0,1,1,0,0,0,1,1,0,0,0,0,1814.0,1560.0,11,67,162,112,9,0,3,2,9,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,21,4,17.8,5.6,4,2,29.0,132.0,194,194,12.0,12.0,3.21375,2.20087,"[1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
284,Se,Be,27.20880463,8.098176455,78.96,9.012182000000001,958.0,2743.0,8.3,130.0,16,2,120,96,4819.0,1848.0,0.0,1.67,2.55,1.57,9.75239,9.3227,0.799,0.0,-3.47079191,-3.755038695,3.7286790069999998,2.508239481,4.697841169,3.160183721,0.0,0.0,25.92,7.89,2200,8000,6000,4000,0.321,1.825,25.363000000000003,16.442999999999998,6.69,7.895,29.81,8.11,0,1,0,0,0,0,0,1,0,0,1,0,494.0,1560.0,89,67,118,112,2,0,16,2,0,0,10,0,0,0,0,0,2,0,4,0,0,0,2,2,34,4,3.77,5.6,4,2,3.7,132.0,14,194,2.0,12.0,2.364,2.20087,"[1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
285,Sm,Be,33.95681901,8.098176455,150.36,9.012182000000001,2076.0,2743.0,38.0,130.0,3,2,198,96,7353.0,1848.0,1.21,1.67,1.17,1.57,5.6437,9.3227,0.0,0.0,-4.713379635,-3.755038695,4.050607032,2.508239481,5.103445064,3.160183721,0.0,0.0,33.23,7.89,9500,8000,3100,4000,0.196,1.825,29.54,16.442999999999998,8.62,7.895,33.14,8.11,0,1,0,0,1,0,1,1,0,0,0,0,1345.0,1560.0,23,67,185,112,8,0,8,2,0,0,0,0,8,0,6,0,0,0,0,0,0,0,2,2,62,4,28.8,5.6,6,2,20.0,132.0,166,194,12.0,12.0,3.61456,2.20087,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
286,Sn,Be,26.96678526,8.098176455,118.71,9.012182000000001,2875.0,2743.0,58.0,130.0,14,2,139,96,7310.0,1848.0,1.24,1.67,1.96,1.57,7.34392,9.3227,0.0,0.0,-3.96104709,-3.755038695,4.052840562,2.508239481,5.106259136,3.160183721,0.0,0.0,33.285,7.89,2600,8000,1600,4000,0.22699999999999998,1.825,26.99,16.442999999999998,7.15,7.895,27.05,8.11,0,1,0,0,0,0,1,1,0,0,0,0,505.08,1560.0,80,67,155,112,4,0,14,2,0,0,10,0,0,0,0,0,4,0,2,0,0,0,2,2,50,4,7.06,5.6,5,2,18.0,132.0,141,194,4.0,12.0,2.87792,2.20087,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
287,Sr,Be,55.32313078,8.098176455,87.62,9.012182000000001,1655.0,2743.0,0.0,130.0,2,2,195,96,2630.0,1848.0,0.84,1.67,0.95,1.57,5.69485,9.3227,0.0,0.0,-1.6828136000000002,-3.755038695,4.768954732,2.508239481,6.008506453,3.160183721,0.0,0.0,54.23,7.89,4200,8000,3000,4000,0.306,1.825,26.79,16.442999999999998,7.43,7.895,56.08,8.11,1,1,0,0,0,0,1,1,0,0,0,0,1050.0,1560.0,8,67,212,112,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,38,4,25.55,5.6,5,2,6.1,132.0,225,194,12.0,12.0,4.26546,2.20087,"[1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
288,Ta,Be,18.04672956,8.098176455,180.94788,9.012182000000001,5731.0,2743.0,200.0,130.0,5,2,170,96,16650.0,1848.0,1.63,1.67,1.5,1.57,7.54957,9.3227,0.0,0.0,-11.85139954,-3.755038695,3.309248619,2.508239481,4.169391995,3.160183721,0.0,0.0,18.12,7.89,2300,8000,4800,4000,0.14,1.825,25.36,16.442999999999998,36.57,7.895,17.65,8.11,0,1,1,0,0,0,1,1,0,0,0,0,3290.0,1560.0,48,67,145,112,7,0,19,2,7,0,3,0,0,0,14,0,0,0,0,0,0,0,2,2,73,4,13.1,5.6,6,2,69.0,132.0,229,194,8.0,12.0,2.8727,2.20087,"[1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0]"
289,Th,Be,32.86568321,8.098176455,232.03806,9.012182000000001,5093.0,2743.0,54.0,130.0,3,2,206,96,11724.0,1848.0,1.28,1.67,1.3,1.57,6.3067,9.3227,0.0,0.0,-7.41254306,-3.755038695,4.015357627,2.508239481,5.059033597,3.160183721,0.0,0.0,32.37,7.89,0,8000,0,4000,0.11800000000000001,1.825,27.32,16.442999999999998,13.81,7.895,32.86,8.11,0,1,0,0,1,0,1,1,0,0,0,0,2023.0,1560.0,16,67,178,112,8,0,4,2,8,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,90,4,32.1,5.6,7,2,31.0,132.0,225,194,12.0,12.0,3.5605900000000004,2.20087,"[1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
290,Ti,Be,17.63631716,8.098176455,47.867,9.012182000000001,3560.0,2743.0,110.0,130.0,4,2,160,96,4507.0,1848.0,1.52,1.67,1.54,1.57,6.828119999999999,9.3227,0.0,0.0,-7.77522712,-3.755038695,3.2197991210000003,2.508239481,4.056692689,3.160183721,2.25e-05,0.0,16.69,7.89,1100,8000,1600,4000,0.524,1.825,25.06,16.442999999999998,14.15,7.895,17.67,8.11,0,1,1,0,0,0,1,1,0,0,0,0,1941.0,1560.0,43,67,142,112,8,0,4,2,8,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,22,4,14.6,5.6,4,2,44.0,132.0,194,194,8.0,12.0,2.70452,2.20087,"[1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
291,Tl,Be,28.64087656,8.098176455,204.3833,9.012182000000001,1746.0,2743.0,43.0,130.0,13,2,145,96,11850.0,1848.0,1.12,1.67,1.62,1.57,6.108194,9.3227,0.0,0.0,-2.27267753,-3.755038695,3.775558738,2.508239481,4.756905929,3.160183721,0.0,0.0,26.91,7.89,6500,8000,6500,4000,0.129,1.825,26.32,16.442999999999998,4.1419999999999995,7.895,28.53,8.11,0,1,0,0,0,0,1,1,0,0,0,0,577.0,1560.0,76,67,172,112,5,0,27,2,0,0,10,0,0,0,14,0,5,0,1,0,0,0,2,2,81,4,7.55,5.6,6,2,2.8,132.0,194,194,8.0,12.0,3.4325300000000003,2.20087,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
292,Tm,Be,30.09638585,8.098176455,168.93421,9.012182000000001,2223.0,2743.0,45.0,130.0,3,2,190,96,9321.0,1848.0,1.23,1.67,1.25,1.57,6.18431,9.3227,0.0,0.0,-4.47387849,-3.755038695,3.905274476,2.508239481,4.920337518,3.160183721,0.0,0.0,29.78,7.89,9500,8000,3100,4000,0.16,1.825,27.03,16.442999999999998,16.84,7.895,30.14,8.11,0,1,0,0,1,0,1,1,0,0,0,0,1818.0,1560.0,37,67,175,112,1,0,15,2,0,0,0,0,1,0,13,0,0,0,0,0,0,0,2,2,69,4,21.8,5.6,6,2,31.0,132.0,194,194,12.0,12.0,3.4394099999999996,2.20087,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
293,U,Be,20.7488474,8.098176455,238.02891,9.012182000000001,4200.0,2743.0,100.0,130.0,3,2,196,96,19050.0,1848.0,1.51,1.67,1.38,1.57,6.1941,9.3227,0.0,0.0,-11.29233996,-3.755038695,3.42137628,2.508239481,4.310663995,3.160183721,0.0,0.0,20.025,7.89,0,8000,0,4000,0.11599999999999999,1.825,27.665,16.442999999999998,9.14,7.895,21.18,8.11,0,1,0,0,1,0,1,1,0,0,0,0,1408.0,1560.0,20,67,158,112,20,0,6,2,9,0,1,0,11,0,3,0,0,0,0,0,0,0,2,2,92,4,24.9,5.6,7,2,111.0,132.0,63,194,4.0,12.0,2.70235,2.20087,"[1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
294,V,Be,13.84489822,8.098176455,50.9415,9.012182000000001,3680.0,2743.0,160.0,130.0,5,2,153,96,6110.0,1848.0,1.64,1.67,1.63,1.57,6.7461899999999995,9.3227,0.0,0.0,-8.93926069,-3.755038695,2.963255488,2.508239481,3.733467966,3.160183721,0.0,0.0,13.01,7.89,3300,8000,3400,4000,0.489,1.825,24.89,16.442999999999998,21.5,7.895,13.88,8.11,0,1,1,0,0,0,1,1,0,0,0,0,2183.0,1560.0,46,67,134,112,7,0,5,2,7,0,3,0,0,0,0,0,0,0,0,0,0,0,2,2,23,4,12.4,5.6,4,2,47.0,132.0,229,194,8.0,12.0,2.59229,2.20087,"[1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
295,Xe,Be,36952.92402,8.098176455,131.293,9.012182000000001,165.0,2743.0,0.0,130.0,18,2,140,96,5.9,1848.0,0.0,1.67,2.6,1.57,12.12984,9.3227,6.456,0.0,0.04873128,-3.755038695,4.751892136,2.508239481,5.987008929,3.160183721,0.0,0.0,53.65,7.89,0,8000,0,4000,0.158,1.825,20.785999999999998,16.442999999999998,2.27,7.895,57.83,8.11,0,1,0,0,0,0,0,1,0,0,1,0,161.3,1560.0,102,67,0,112,0,0,18,2,0,0,10,0,0,0,0,0,0,0,6,0,0,0,2,2,54,4,4.044,5.6,5,2,0.0,132.0,225,194,12.0,12.0,4.85032,2.20087,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
296,Yb,Be,43.73967194,8.098176455,173.054,9.012182000000001,1469.0,2743.0,31.0,130.0,3,2,187,96,6570.0,1848.0,0.92,1.67,1.26,1.57,6.25416,9.3227,0.0,0.0,-1.47410408,-3.755038695,4.0864514110000005,2.508239481,5.148606152,3.160183721,0.0,0.0,34.12,7.89,9500,8000,3100,4000,0.155,1.825,26.74,16.442999999999998,7.66,7.895,41.17,8.11,0,1,0,0,1,0,1,1,0,0,0,0,1092.0,1560.0,39,67,190,112,0,0,16,2,0,0,0,0,0,0,14,0,0,0,0,0,0,0,2,2,70,4,20.9,5.6,6,2,9.9,132.0,225,194,12.0,12.0,3.8532,2.20087,"[1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
297,Ar,Bi,37184.28542,35.48345908,39.948,208.9804,87.2,1837.0,0.0,31.0,18,15,106,148,1.784,9780.0,0.0,1.16,0.0,2.02,15.75961,7.2855,9.26,0.0,0.05854104,-3.9736943999999994,3.850300758,4.039197959,4.851074973,5.089070533,0.0,0.0,28.54,32.95,0,5300,0,6000,0.52,0.122,20.785999999999998,25.52,1.18,11.106,36.3,35.38,0,0,0,0,0,0,0,1,0,0,1,0,83.8,544.4,100,86,0,162,0,3,8,29,0,0,0,10,0,0,0,14,0,3,6,3,0,0,2,2,18,83,1.6411,0.4,3,6,0.0,12.0,225,12,12.0,3.0,3.98863,3.1122099999999997,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
298,Bi,As,35.48345908,21.72396574,208.9804,74.9216,1837.0,887.0,31.0,22.0,15,15,148,119,9780.0,5727.0,1.16,1.44,2.02,2.18,7.2855,9.7886,0.0,0.0,-3.9736943999999994,-4.650889115,4.039197959,3.539684396,5.089070533,4.459722881,0.0,0.0,32.95,22.175,5300,3300,6000,4000,0.122,0.32899999999999996,25.52,24.64,11.106,24.44,35.38,21.52,0,0,0,0,0,0,1,1,0,1,0,0,544.4,1090.0,86,84,162,115,3,3,29,15,0,0,10,10,0,0,14,0,3,3,3,3,0,0,2,2,83,33,0.4,4.31,6,4,12.0,0.0,12,166,3.0,3.0,3.1122099999999997,2.5579,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
299,Bi,Au,35.48345908,16.94706362,208.9804,196.966569,1837.0,3129.0,31.0,220.0,15,11,148,136,9780.0,19300.0,1.16,1.57,2.02,2.54,7.2855,9.225530000000001,0.0,0.0,-3.9736943999999994,-3.20969261,4.039197959,3.2204420519999997,5.089070533,4.0575027310000005,0.0,0.0,32.95,16.7,5300,1100,6000,1000,0.122,0.129,25.52,25.418000000000003,11.106,12.55,35.38,16.96,0,0,0,1,0,0,1,1,0,0,0,0,544.4,1337.33,86,66,162,143,3,1,29,25,0,0,10,10,0,0,14,14,3,0,3,0,0,1,2,1,83,79,0.4,5.8,6,6,12.0,27.0,12,225,3.0,12.0,3.1122099999999997,2.94955,"[1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
300,Bi,B,35.48345908,7.297767265,208.9804,10.811,1837.0,4273.0,31.0,320.0,15,13,148,84,9780.0,2460.0,1.16,1.75,2.02,2.04,7.2855,8.29802,0.0,1.524,-3.9736943999999994,-6.677698154,4.039197959,2.429779429,5.089070533,3.0613302489999996,0.0,0.0,32.95,7.1725,5300,2900,6000,2000,0.122,1.026,25.52,11.087,11.106,50.2,35.38,7.75,0,0,0,0,0,0,1,0,0,1,0,0,544.4,2348.0,86,72,162,88,3,5,29,3,0,0,10,0,0,0,14,0,3,5,3,1,0,0,2,2,83,5,0.4,3.03,6,2,12.0,0.0,12,166,3.0,5.5,3.1122099999999997,1.7253599999999998,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
301,Bi,Ce,35.48345908,34.78450148,208.9804,140.116,1837.0,3633.0,31.0,22.0,15,3,148,204,9780.0,6689.0,1.16,1.19,2.02,1.12,7.2855,5.5387,0.0,0.0,-3.9736943999999994,-4.77656965,4.039197959,4.207394381,5.089070533,5.300984746,0.0,0.0,32.95,37.24,5300,9500,6000,3100,0.122,0.192,25.52,26.94,11.106,5.46,35.38,34.47,0,0,0,0,0,1,1,1,0,0,0,0,544.4,1071.0,86,15,162,182,3,22,29,4,0,9,10,1,0,13,14,1,3,0,3,0,0,0,2,2,83,58,0.4,29.6,6,6,12.0,14.0,12,194,3.0,12.0,3.1122099999999997,3.33785,"[1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0]"
302,Bi,Co,35.48345908,10.99586068,208.9804,58.933195,1837.0,3200.0,31.0,180.0,15,9,148,126,9780.0,8900.0,1.16,1.75,2.02,1.88,7.2855,7.881010000000001,0.0,0.0,-3.9736943999999994,-7.080389145,4.039197959,2.7364067480000003,5.089070533,3.447656463,0.0,1.5484712,32.95,10.245,5300,3100,6000,2700,0.122,0.42100000000000004,25.52,24.81,11.106,16.2,35.38,11.12,0,0,0,1,0,0,1,1,0,0,0,0,544.4,1768.0,86,58,162,125,3,3,29,9,0,3,10,7,0,0,14,0,3,0,3,0,0,0,2,2,83,27,0.4,7.5,6,4,12.0,75.0,12,194,3.0,12.0,3.1122099999999997,2.4802400000000002,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
303,Cs,Bi,117.4560158,35.48345908,132.9054519,208.9804,944.0,1837.0,1.6,31.0,1,15,244,148,1879.0,9780.0,0.55,1.16,0.79,2.02,3.893905,7.2855,0.0,0.0,-0.85462646,-3.9736943999999994,6.140481453,4.039197959,7.736521839,5.089070533,0.0,0.0,115.765,32.95,6000,5300,6000,6000,0.242,0.122,32.21,25.52,2.09,11.106,67.55,35.38,1,0,0,0,0,0,1,1,0,0,0,0,301.59,544.4,5,86,264,162,1,3,1,29,0,0,0,10,0,0,0,14,0,3,0,3,1,0,1,2,55,83,59.42,0.4,6,6,0.0,12.0,229,12,8.0,3.0,5.32395,3.1122099999999997,"[1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0]"
304,Bi,Fe,35.48345908,11.77736497,208.9804,55.845,1837.0,3134.0,31.0,170.0,15,8,148,132,9780.0,7874.0,1.16,1.77,2.02,1.83,7.2855,7.9024,0.0,0.0,-3.9736943999999994,-8.28548436,4.039197959,2.7789233789999996,5.089070533,3.501224062,0.0,2.1106627999999996,32.95,10.73,5300,2400,6000,1400,0.122,0.449,25.52,25.1,11.106,13.81,35.38,11.78,0,0,0,1,0,0,1,1,0,0,0,0,544.4,1811.0,86,55,162,125,3,4,29,8,0,4,10,6,0,0,14,0,3,0,3,0,0,0,2,2,83,26,0.4,8.4,6,4,12.0,82.0,12,229,3.0,8.0,3.1122099999999997,2.46654,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
305,Bi,Ho,35.48345908,31.14037991,208.9804,164.93032,1837.0,2973.0,31.0,40.0,15,3,148,192,9780.0,8795.0,1.16,1.22,2.02,1.23,7.2855,6.0215,0.0,0.0,-3.9736943999999994,-4.577416877,4.039197959,3.9465101189999996,5.089070533,4.972291172,0.0,0.0,32.95,30.73333333,5300,9500,6000,3100,0.122,0.165,25.52,27.15,11.106,11.76,35.38,31.11,0,0,0,0,0,1,1,1,0,0,0,0,544.4,1747.0,86,33,162,177,3,3,29,13,0,0,10,0,0,3,14,11,3,0,3,0,0,0,2,2,83,67,0.4,23.6,6,6,12.0,26.0,12,194,3.0,12.0,3.1122099999999997,3.4811199999999998,"[1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0]"
306,La,Bi,37.53064612,35.48345908,138.90547,208.9804,3737.0,1837.0,28.0,31.0,3,15,207,148,6146.0,9780.0,1.18,1.16,1.1,2.02,5.5769,7.2855,0.0,0.0,-4.927546185,-3.9736943999999994,4.194456026,4.039197959,5.28468344,5.089070533,0.0,0.0,36.8975,32.95,9500,5300,3100,6000,0.195,0.122,27.11,25.52,6.2,11.106,37.42,35.38,0,0,0,0,1,0,1,1,0,0,0,0,1193.0,544.4,13,86,187,162,9,3,3,29,9,0,1,10,0,0,0,14,0,3,0,3,0,0,2,2,57,83,31.1,0.4,6,6,14.0,12.0,194,12,12.0,3.0,3.7199800000000005,3.1122099999999997,"[1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0]"
307,Bi,Mg,35.48345908,23.2222931,208.9804,24.305,1837.0,1363.0,31.0,45.0,15,2,148,141,9780.0,1738.0,1.16,1.17,2.02,1.31,7.2855,7.646235000000001,0.0,0.0,-3.9736943999999994,-1.54227231,4.039197959,3.577326635,5.089070533,4.50714913,0.0,0.0,32.95,22.89,5300,5300,6000,500,0.122,1.023,25.52,24.869,11.106,8.48,35.38,23.48,0,1,0,0,0,0,1,1,0,0,0,0,544.4,923.0,86,68,162,160,3,0,29,2,0,0,10,0,0,0,14,0,3,0,3,0,0,0,2,2,83,12,0.4,10.76666667,6,3,12.0,17.0,12,194,3.0,12.0,3.1122099999999997,3.18377,"[1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0]"
308,Na,Bi,39.43832888,35.48345908,22.98976928,208.9804,1156.0,1837.0,6.3,31.0,1,15,166,148,968.0,9780.0,0.82,1.16,0.93,2.02,5.139076,7.2855,0.0,0.0,-1.2602413829999999,-3.9736943999999994,3.88167309,4.039197959,4.890601633999999,5.089070533,0.0,0.0,29.24333333,32.95,1100,5300,500,6000,1.228,0.122,28.23,25.52,2.6,11.106,39.76,35.38,1,0,0,0,0,0,1,1,0,0,0,0,370.87,544.4,2,86,180,162,1,3,1,29,0,0,0,10,0,0,0,14,0,3,0,3,1,0,1,2,11,83,24.11,0.4,3,6,3.3,12.0,229,12,12.0,3.0,3.7292199999999998,3.1122099999999997,"[1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0]"
309,Bi,Nb,35.48345908,18.00213298,208.9804,92.90638,1837.0,5017.0,31.0,170.0,15,5,148,164,9780.0,8570.0,1.16,1.64,2.02,1.6,7.2855,6.75885,0.0,0.0,-3.9736943999999994,-10.09332153,4.039197959,3.312897187,5.089070533,4.173988903,0.0,0.0,32.95,18.18,5300,8500,6000,8800,0.122,0.265,25.52,24.6,11.106,30.0,35.38,18.15,0,0,0,1,0,0,1,1,0,0,0,0,544.4,2750.0,86,47,162,143,3,7,29,5,0,6,10,4,0,0,14,0,3,0,3,0,0,1,2,1,83,41,0.4,15.7,6,5,12.0,38.0,12,229,3.0,8.0,3.1122099999999997,2.87565,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
310,Bi,Np,35.48345908,19.24483901,208.9804,237.0,1837.0,4273.0,31.0,0.0,15,3,148,190,9780.0,20450.0,1.16,0.0,2.02,1.36,7.2855,6.2657,0.0,0.0,-3.9736943999999994,-12.94031436,4.039197959,3.329442683,5.089070533,4.194834921,0.0,0.0,32.95,18.45375,5300,0,6000,0,0.122,0.0,25.52,0.0,11.106,3.2,35.38,19.22,0,0,0,0,0,1,1,1,0,0,0,0,544.4,917.0,86,22,162,175,3,19,29,7,0,9,10,1,0,10,14,4,3,0,3,0,0,0,2,2,83,93,0.4,24.8,6,7,12.0,0.0,12,62,3.0,4.0,3.1122099999999997,2.4862599999999997,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
